symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AAPL,2024-12-10 16:30:00+00:00,245.665,246.45,245.63,246.36,40565.0,496.0,246.037898
AAPL,2024-12-10 16:45:00+00:00,246.39,246.52,246.2,246.415,18803.0,316.0,246.380611
AAPL,2024-12-10 17:00:00+00:00,246.41,246.9,246.41,246.66,20074.0,294.0,246.789908
AAPL,2024-12-10 17:15:00+00:00,246.66,247.16,246.6,247.04,14572.0,234.0,246.902092
AAPL,2024-12-10 17:30:00+00:00,247.05,247.3,246.975,247.19,8623.0,183.0,247.129731
AAPL,2024-12-10 17:45:00+00:00,247.24,247.24,246.77,246.91,8377.0,218.0,246.996399
AAPL,2024-12-10 18:00:00+00:00,246.795,247.01,246.725,246.77,11523.0,261.0,246.818286
AAPL,2024-12-10 18:15:00+00:00,246.795,247.475,246.795,247.41,19180.0,253.0,247.246797
AAPL,2024-12-10 18:30:00+00:00,247.405,247.71,247.36,247.6,14429.0,196.0,247.555619
AAPL,2024-12-10 18:45:00+00:00,247.59,247.77,247.555,247.6,20614.0,208.0,247.645841
AAPL,2024-12-10 19:00:00+00:00,247.595,247.8,247.56,247.8,21080.0,254.0,247.685695
AAPL,2024-12-10 19:15:00+00:00,247.76,247.76,247.39,247.47,30351.0,197.0,247.513279
AAPL,2024-12-10 19:30:00+00:00,247.45,247.635,247.41,247.595,42279.0,353.0,247.482156
AAPL,2024-12-10 19:45:00+00:00,247.605,248.08,247.59,248.04,31456.0,337.0,247.87246
AAPL,2024-12-10 20:00:00+00:00,248.05,248.205,247.52,247.775,41514.0,485.0,247.942488
AAPL,2024-12-10 20:15:00+00:00,247.805,247.82,247.51,247.73,18437.0,277.0,247.670236
AAPL,2024-12-10 20:30:00+00:00,247.745,248.04,247.65,247.85,25433.0,347.0,247.839978
AAPL,2024-12-10 20:45:00+00:00,247.84,247.89,247.38,247.81,98647.0,1162.0,247.660001
AAPL,2024-12-11 14:30:00+00:00,247.96,249.43,247.65,249.21,62611.0,809.0,248.538415
AAPL,2024-12-11 14:45:00+00:00,249.39,249.79,249.14,249.285,48027.0,535.0,249.42649
AAPL,2024-12-11 15:00:00+00:00,249.31,249.97,249.135,249.64,46981.0,612.0,249.694907
AAPL,2024-12-11 15:15:00+00:00,249.73,249.91,249.37,249.4,31762.0,498.0,249.630755
AAPL,2024-12-11 15:30:00+00:00,249.455,250.18,249.425,249.69,28423.0,470.0,249.735693
AAPL,2024-12-11 15:45:00+00:00,249.73,250.16,249.63,250.16,15338.0,285.0,249.875037
AAPL,2024-12-11 16:00:00+00:00,250.15,250.77,249.94,250.26,25876.0,342.0,250.339729
AAPL,2024-12-11 16:15:00+00:00,250.27,250.64,249.98,250.45,33060.0,388.0,250.307351
AAPL,2024-12-11 16:30:00+00:00,250.38,250.38,249.6,249.67,30669.0,369.0,249.885742
AAPL,2024-12-11 16:45:00+00:00,249.595,249.87,249.36,249.52,10343.0,174.0,249.605994
AAPL,2024-12-11 17:00:00+00:00,249.53,249.77,249.415,249.6,14388.0,239.0,249.603082
AAPL,2024-12-11 17:15:00+00:00,249.71,249.835,249.545,249.74,6702.0,101.0,249.655771
AAPL,2024-12-11 17:30:00+00:00,249.75,249.76,249.41,249.48,8683.0,132.0,249.511806
AAPL,2024-12-11 17:45:00+00:00,249.375,249.42,249.1,249.205,10274.0,147.0,249.261623
AAPL,2024-12-11 18:00:00+00:00,249.225,249.44,249.15,249.18,6089.0,103.0,249.28541
AAPL,2024-12-11 18:15:00+00:00,249.25,249.25,248.995,249.1,6881.0,135.0,249.116869
AAPL,2024-12-11 18:30:00+00:00,249.1,249.16,248.92,249.0,11433.0,157.0,249.061735
AAPL,2024-12-11 18:45:00+00:00,248.95,248.95,248.36,248.415,10182.0,168.0,248.679107
AAPL,2024-12-11 19:00:00+00:00,248.375,248.545,248.095,248.49,10545.0,176.0,248.233823
AAPL,2024-12-11 19:15:00+00:00,248.55,248.55,248.25,248.26,9685.0,145.0,248.373884
AAPL,2024-12-11 19:30:00+00:00,248.32,248.435,248.03,248.035,18319.0,232.0,248.311778
AAPL,2024-12-11 19:45:00+00:00,248.05,248.05,247.59,247.805,31488.0,284.0,247.743461
AAPL,2024-12-11 20:00:00+00:00,247.835,247.895,247.425,247.55,22181.0,205.0,247.670891
AAPL,2024-12-11 20:15:00+00:00,247.505,247.515,247.05,247.16,31152.0,355.0,247.265677
AAPL,2024-12-11 20:30:00+00:00,247.12,247.12,246.79,246.91,44820.0,448.0,246.941206
AAPL,2024-12-11 20:45:00+00:00,246.91,247.04,246.275,246.455,162017.0,1441.0,246.713184
AAPL,2024-12-12 14:30:00+00:00,246.93,247.445,245.75,246.05,60137.0,672.0,246.608785
AAPL,2024-12-12 14:45:00+00:00,245.93,246.64,245.84,246.64,32929.0,492.0,246.191995
AAPL,2024-12-12 15:00:00+00:00,246.57,247.13,246.01,247.13,41620.0,552.0,246.462515
AAPL,2024-12-12 15:15:00+00:00,247.12,248.11,247.04,247.96,27673.0,510.0,247.531566
AAPL,2024-12-12 15:30:00+00:00,248.03,248.535,247.98,247.98,26309.0,451.0,248.238493
AAPL,2024-12-12 15:45:00+00:00,247.97,248.37,247.88,248.015,13496.0,281.0,248.096776
AAPL,2024-12-12 16:00:00+00:00,248.055,248.2,247.68,247.89,20723.0,352.0,247.927226
AAPL,2024-12-12 16:15:00+00:00,247.83,248.58,247.83,248.47,27056.0,629.0,248.096554
AAPL,2024-12-12 16:30:00+00:00,248.5,248.54,248.16,248.26,9382.0,167.0,248.322157
AAPL,2024-12-12 16:45:00+00:00,248.18,248.35,248.095,248.205,9268.0,202.0,248.212744
AAPL,2024-12-12 17:00:00+00:00,248.18,248.355,247.995,248.285,25941.0,348.0,248.163108
AAPL,2024-12-12 17:15:00+00:00,248.38,248.425,248.07,248.155,14177.0,257.0,248.173857
AAPL,2024-12-12 17:30:00+00:00,248.13,248.24,247.65,248.21,19681.0,350.0,247.962784
AAPL,2024-12-12 17:45:00+00:00,248.25,248.545,248.12,248.545,22351.0,294.0,248.256827
AAPL,2024-12-12 18:00:00+00:00,248.55,248.7,248.385,248.64,19655.0,289.0,248.536557
AAPL,2024-12-12 18:15:00+00:00,248.6,248.73,248.47,248.58,21210.0,336.0,248.612966
AAPL,2024-12-12 18:30:00+00:00,248.515,248.63,248.475,248.5,16228.0,308.0,248.524234
